Place of Service Code,Place of Service Name,Place of Service Description
01,Pharmacy,"A facility or location where drugs and other medically related items and services are sold, dispensed, or otherwise provided directly to patients. (Effective October 1, 2003) (Revised, effective October 1, 2005)"
02,Telehealth,"The location where health services and health related services are provided or received, through a telecommunication system. (Effective January 1, 2017)"
03,School,"A facility whose primary purpose is education. (Effective January 1, 2003)"
04,Homeless Shelter,
05,Indian Health Service Free-standing Facility,
06,Indian Health Service Provider-based Facility,
07,Tribal 638 Free-standing Facility,
08,Tribal 638 Provider-based Facility,"A facility or location owned and operated by a federally recognized American Indian or Alaska Native tribe or tribal organization under a 638 agreement, which provides diagnostic, therapeutic (surgical and non-surgical), and rehabilitation services to tribal members admitted as inpatients or outpatients. (Effective January 1, 2003)"
09,Prison/ Correctional Facility,
10,Unassigned,""
11,Office,"Location, other than a hospital, skilled nursing facility (SNF), military treatment facility, community health center, State or local public health clinic, or intermediate care facility (ICF), where the health professional routinely provides health examinations, diagnosis, and treatment of illness or injury on an ambulatory basis."
12,Home,"Location, other than a hospital or other facility, where the patient receives care in a private residence."
13,Assisted Living Facility,
14,Group Home *,
15,Mobile Unit,"A facility/unit that moves from place-to-place equipped to provide preventive, screening, diagnostic, and/or treatment services. (Effective January 1, 2003)"
16,Temporary Lodging,"A short term accommodation such as a hotel, camp ground, hostel, cruise ship or resort where the patient receives care, and which is not identified by any other POS code. (Effective January 1, 2008)"
17,Walk-in Retail Health Clinic,
18,Place of Employment- Worksite,"A location, not described by any other POS code, owned or operated by a public or private entity where the patient is employed, and where a health professional provides on-going or episodic occupational medical, therapeutic or rehabilitative services to the individual. (This code is available for use effective January 1, 2013 but no later than May 1, 2013)"
19,Off Campus-Outpatient Hospital,
20,Urgent Care Facility,"Location, distinct from a hospital emergency room, an office, or a clinic, whose purpose is to diagnose and treat illness or injury for unscheduled, ambulatory patients seeking immediate medical attention. (Effective January 1, 2003)"
21,Inpatient Hospital,"A facility, other than psychiatric, which primarily provides diagnostic, therapeutic (both surgical and nonsurgical), and rehabilitation services by, or under, the supervision of physicians to patients admitted for a variety of medical conditions."
22,On Campus-Outpatient Hospital,
23,,A portion of a hospital where emergency diagnosis and treatment of illness or injury is provided.
24,Ambulatory Surgical Center,"A freestanding facility, other than a physician's office, where surgical and diagnostic services are provided on an ambulatory basis."
25,Birthing Center,"A facility, other than a hospital's maternity facilities or a physician's office, which provides a setting for labor, delivery, and immediate post-partum care as well as immediate care of new born infants."
26,Military Treatment Facility,A medical facility operated by one or more of the Uniformed Services. Military Treatment Facility (MTF) also refers to certain former U.S. Public Health Service (USPHS) facilities now designated as Uniformed Service Treatment Facilities (USTF).
27,Unassigned,
28,Unassigned,
29,Unassigned,
30,Unassigned,
31,Skilled Nursing Facility,"A facility which primarily provides inpatient skilled nursing care and related services to patients who require medical, nursing, or rehabilitative services but does not provide the level of care or treatment available in a hospital."
32,Nursing Facility,"A facility which primarily provides to residents skilled nursing care and related services for the rehabilitation of injured, disabled, or sick persons, or, on a regular basis, health-related care services above the level of custodial care to other than individuals with intellectual disabilities."
33,Custodial Care Facility,"A facility which provides room, board and other personal assistance services, generally on a long-term basis, and which does not include a medical component."
34,Hospice,"A facility, other than a patient's home, in which palliative and supportive care for terminally ill patients and their families are provided."
35,Unassigned,
36,Unassigned,
37,Unassigned,
38,Unassigned,
39,Unassigned,
40,Unassigned,
